"sname","date","value"
"10Y US Bond",2010-01-01,3.837
"10Y US Bond",2010-01-02,3.837
"10Y US Bond",2010-01-03,3.837
"10Y US Bond",2010-01-04,3.823
"10Y US Bond",2010-01-05,3.765
"10Y US Bond",2010-01-06,3.829
"10Y US Bond",2010-01-07,3.827
"10Y US Bond",2010-01-08,3.836
"10Y US Bond",2010-01-09,3.836
"10Y US Bond",2010-01-10,3.836
"10Y US Bond",2010-01-11,3.820
"10Y US Bond",2010-01-12,3.717
"10Y US Bond",2010-01-13,3.793
"10Y US Bond",2010-01-14,3.742
"10Y US Bond",2010-01-15,3.676
"10Y US Bond",2010-01-16,3.676
"10Y US Bond",2010-01-17,3.676
"10Y US Bond",2010-01-18,3.676
"10Y US Bond",2010-01-19,3.700
"10Y US Bond",2010-01-20,3.653
"10Y US Bond",2010-01-21,3.595
"10Y US Bond",2010-01-22,3.601
"10Y US Bond",2010-01-23,3.601
"10Y US Bond",2010-01-24,3.601
"10Y US Bond",2010-01-25,3.630
"10Y US Bond",2010-01-26,3.621
"10Y US Bond",2010-01-27,3.650
"10Y US Bond",2010-01-28,3.642
"10Y US Bond",2010-01-29,3.588
"10Y US Bond",2010-01-30,3.588
"10Y US Bond",2010-01-31,3.588
"10Y US Bond",2010-02-01,3.656
"10Y US Bond",2010-02-02,3.639
"10Y US Bond",2010-02-03,3.707
"10Y US Bond",2010-02-04,3.610
"10Y US Bond",2010-02-05,3.571
"10Y US Bond",2010-02-06,3.571
"10Y US Bond",2010-02-07,3.571
"10Y US Bond",2010-02-08,3.562
"10Y US Bond",2010-02-09,3.641
"10Y US Bond",2010-02-10,3.690
"10Y US Bond",2010-02-11,3.721
"10Y US Bond",2010-02-12,3.695
"10Y US Bond",2010-02-13,3.695
"10Y US Bond",2010-02-14,3.695
"10Y US Bond",2010-02-15,3.695
"10Y US Bond",2010-02-16,3.663
"10Y US Bond",2010-02-17,3.738
"10Y US Bond",2010-02-18,3.807
"10Y US Bond",2010-02-19,3.776
"10Y US Bond",2010-02-20,3.776
"10Y US Bond",2010-02-21,3.776
"10Y US Bond",2010-02-22,3.796
"10Y US Bond",2010-02-23,3.689
"10Y US Bond",2010-02-24,3.693
"10Y US Bond",2010-02-25,3.634
"10Y US Bond",2010-02-26,3.619
"10Y US Bond",2010-02-27,3.619
"10Y US Bond",2010-02-28,3.619
"10Y US Bond",2010-03-01,3.608
"10Y US Bond",2010-03-02,3.610
"10Y US Bond",2010-03-03,3.621
"10Y US Bond",2010-03-04,3.606
"10Y US Bond",2010-03-05,3.685
"10Y US Bond",2010-03-06,3.685
"10Y US Bond",2010-03-07,3.685
"10Y US Bond",2010-03-08,3.721
"10Y US Bond",2010-03-09,3.701
"10Y US Bond",2010-03-10,3.721
"10Y US Bond",2010-03-11,3.727
"10Y US Bond",2010-03-12,3.703
"10Y US Bond",2010-03-13,3.703
"10Y US Bond",2010-03-14,3.703
"10Y US Bond",2010-03-15,3.697
"10Y US Bond",2010-03-16,3.653
"10Y US Bond",2010-03-17,3.642
"10Y US Bond",2010-03-18,3.676
"10Y US Bond",2010-03-19,3.693
"10Y US Bond",2010-03-20,3.693
"10Y US Bond",2010-03-21,3.693
"10Y US Bond",2010-03-22,3.661
"10Y US Bond",2010-03-23,3.689
"10Y US Bond",2010-03-24,3.851
"10Y US Bond",2010-03-25,3.882
"10Y US Bond",2010-03-26,3.851
"10Y US Bond",2010-03-27,3.851
"10Y US Bond",2010-03-28,3.851
"10Y US Bond",2010-03-29,3.868
"10Y US Bond",2010-03-30,3.859
"10Y US Bond",2010-03-31,3.833
"10Y US Bond",2010-04-01,3.868
"10Y US Bond",2010-04-02,3.943
"10Y US Bond",2010-04-03,3.943
"10Y US Bond",2010-04-04,3.943
"10Y US Bond",2010-04-05,3.988
"10Y US Bond",2010-04-06,3.956
"10Y US Bond",2010-04-07,3.863
"10Y US Bond",2010-04-08,3.890
"10Y US Bond",2010-04-09,3.882
"10Y US Bond",2010-04-10,3.882
"10Y US Bond",2010-04-11,3.882
"10Y US Bond",2010-04-12,3.838
"10Y US Bond",2010-04-13,3.820
"10Y US Bond",2010-04-14,3.865
"10Y US Bond",2010-04-15,3.836
"10Y US Bond",2010-04-16,3.770
"10Y US Bond",2010-04-17,3.770
"10Y US Bond",2010-04-18,3.770
"10Y US Bond",2010-04-19,3.803
"10Y US Bond",2010-04-20,3.797
"10Y US Bond",2010-04-21,3.743
"10Y US Bond",2010-04-22,3.770
"10Y US Bond",2010-04-23,3.817
"10Y US Bond",2010-04-24,3.817
"10Y US Bond",2010-04-25,3.817
"10Y US Bond",2010-04-26,3.809
"10Y US Bond",2010-04-27,3.693
"10Y US Bond",2010-04-28,3.767
"10Y US Bond",2010-04-29,3.732
"10Y US Bond",2010-04-30,3.659
"10Y US Bond",2010-05-01,3.659
"10Y US Bond",2010-05-02,3.659
"10Y US Bond",2010-05-03,3.692
"10Y US Bond",2010-05-04,3.598
"10Y US Bond",2010-05-05,3.546
"10Y US Bond",2010-05-06,3.405
"10Y US Bond",2010-05-07,3.420
"10Y US Bond",2010-05-08,3.420
"10Y US Bond",2010-05-09,3.420
"10Y US Bond",2010-05-10,3.541
"10Y US Bond",2010-05-11,3.531
"10Y US Bond",2010-05-12,3.571
"10Y US Bond",2010-05-13,3.537
"10Y US Bond",2010-05-14,3.457
"10Y US Bond",2010-05-15,3.457
"10Y US Bond",2010-05-16,3.457
"10Y US Bond",2010-05-17,3.491
"10Y US Bond",2010-05-18,3.353
"10Y US Bond",2010-05-19,3.370
"10Y US Bond",2010-05-20,3.216
"10Y US Bond",2010-05-21,3.236
"10Y US Bond",2010-05-22,3.236
"10Y US Bond",2010-05-23,3.236
"10Y US Bond",2010-05-24,3.198
"10Y US Bond",2010-05-25,3.160
"10Y US Bond",2010-05-26,3.192
"10Y US Bond",2010-05-27,3.357
"10Y US Bond",2010-05-28,3.303
"10Y US Bond",2010-05-29,3.303
"10Y US Bond",2010-05-30,3.303
"10Y US Bond",2010-05-31,3.300
"10Y US Bond",2010-06-01,3.263
"10Y US Bond",2010-06-02,3.347
"10Y US Bond",2010-06-03,3.369
"10Y US Bond",2010-06-04,3.208
"10Y US Bond",2010-06-05,3.208
"10Y US Bond",2010-06-06,3.208
"10Y US Bond",2010-06-07,3.146
"10Y US Bond",2010-06-08,3.189
"10Y US Bond",2010-06-09,3.178
"10Y US Bond",2010-06-10,3.325
"10Y US Bond",2010-06-11,3.233
"10Y US Bond",2010-06-12,3.233
"10Y US Bond",2010-06-13,3.233
"10Y US Bond",2010-06-14,3.262
"10Y US Bond",2010-06-15,3.308
"10Y US Bond",2010-06-16,3.264
"10Y US Bond",2010-06-17,3.192
"10Y US Bond",2010-06-18,3.225
"10Y US Bond",2010-06-19,3.225
"10Y US Bond",2010-06-20,3.225
"10Y US Bond",2010-06-21,3.247
"10Y US Bond",2010-06-22,3.165
"10Y US Bond",2010-06-23,3.125
"10Y US Bond",2010-06-24,3.135
"10Y US Bond",2010-06-25,3.110
"10Y US Bond",2010-06-26,3.110
"10Y US Bond",2010-06-27,3.110
"10Y US Bond",2010-06-28,3.023
"10Y US Bond",2010-06-29,2.953
"10Y US Bond",2010-06-30,2.935
"10Y US Bond",2010-07-01,2.954
"10Y US Bond",2010-07-02,2.977
"10Y US Bond",2010-07-03,2.977
"10Y US Bond",2010-07-04,2.977
"10Y US Bond",2010-07-05,2.980
"10Y US Bond",2010-07-06,2.936
"10Y US Bond",2010-07-07,2.984
"10Y US Bond",2010-07-08,3.038
"10Y US Bond",2010-07-09,3.057
"10Y US Bond",2010-07-10,3.057
"10Y US Bond",2010-07-11,3.057
"10Y US Bond",2010-07-12,3.066
"10Y US Bond",2010-07-13,3.123
"10Y US Bond",2010-07-14,3.050
"10Y US Bond",2010-07-15,2.994
"10Y US Bond",2010-07-16,2.927
"10Y US Bond",2010-07-17,2.927
"10Y US Bond",2010-07-18,2.927
"10Y US Bond",2010-07-19,2.963
"10Y US Bond",2010-07-20,2.957
"10Y US Bond",2010-07-21,2.882
"10Y US Bond",2010-07-22,2.932
"10Y US Bond",2010-07-23,3.000
"10Y US Bond",2010-07-24,3.000
"10Y US Bond",2010-07-25,3.000
"10Y US Bond",2010-07-26,2.996
"10Y US Bond",2010-07-27,3.049
"10Y US Bond",2010-07-28,2.996
"10Y US Bond",2010-07-29,2.987
"10Y US Bond",2010-07-30,2.905
"10Y US Bond",2010-07-31,2.905
"10Y US Bond",2010-08-01,2.905
"10Y US Bond",2010-08-02,2.968
"10Y US Bond",2010-08-03,2.908
"10Y US Bond",2010-08-04,2.955
"10Y US Bond",2010-08-05,2.901
"10Y US Bond",2010-08-06,2.822
"10Y US Bond",2010-08-07,2.822
"10Y US Bond",2010-08-08,2.822
"10Y US Bond",2010-08-09,2.829
"10Y US Bond",2010-08-10,2.768
"10Y US Bond",2010-08-11,2.690
"10Y US Bond",2010-08-12,2.747
"10Y US Bond",2010-08-13,2.679
"10Y US Bond",2010-08-14,2.679
"10Y US Bond",2010-08-15,2.679
"10Y US Bond",2010-08-16,2.573
"10Y US Bond",2010-08-17,2.641
"10Y US Bond",2010-08-18,2.638
"10Y US Bond",2010-08-19,2.575
"10Y US Bond",2010-08-20,2.616
"10Y US Bond",2010-08-21,2.616
"10Y US Bond",2010-08-22,2.616
"10Y US Bond",2010-08-23,2.600
"10Y US Bond",2010-08-24,2.493
"10Y US Bond",2010-08-25,2.539
"10Y US Bond",2010-08-26,2.481
"10Y US Bond",2010-08-27,2.647
"10Y US Bond",2010-08-28,2.647
"10Y US Bond",2010-08-29,2.647
"10Y US Bond",2010-08-30,2.530
"10Y US Bond",2010-08-31,2.470
"10Y US Bond",2010-09-01,2.580
"10Y US Bond",2010-09-02,2.627
"10Y US Bond",2010-09-03,2.713
"10Y US Bond",2010-09-04,2.713
"10Y US Bond",2010-09-05,2.713
"10Y US Bond",2010-09-06,2.714
"10Y US Bond",2010-09-07,2.598
"10Y US Bond",2010-09-08,2.654
"10Y US Bond",2010-09-09,2.757
"10Y US Bond",2010-09-10,2.795
"10Y US Bond",2010-09-11,2.795
"10Y US Bond",2010-09-12,2.795
"10Y US Bond",2010-09-13,2.746
"10Y US Bond",2010-09-14,2.679
"10Y US Bond",2010-09-15,2.723
"10Y US Bond",2010-09-16,2.763
"10Y US Bond",2010-09-17,2.743
"10Y US Bond",2010-09-18,2.743
"10Y US Bond",2010-09-19,2.743
"10Y US Bond",2010-09-20,2.704
"10Y US Bond",2010-09-21,2.576
"10Y US Bond",2010-09-22,2.555
"10Y US Bond",2010-09-23,2.551
"10Y US Bond",2010-09-24,2.607
"10Y US Bond",2010-09-25,2.607
"10Y US Bond",2010-09-26,2.607
"10Y US Bond",2010-09-27,2.531
"10Y US Bond",2010-09-28,2.469
"10Y US Bond",2010-09-29,2.501
"10Y US Bond",2010-09-30,2.512
"10Y US Bond",2010-10-01,2.513
"10Y US Bond",2010-10-02,2.513
"10Y US Bond",2010-10-03,2.513
"10Y US Bond",2010-10-04,2.479
"10Y US Bond",2010-10-05,2.472
"10Y US Bond",2010-10-06,2.392
"10Y US Bond",2010-10-07,2.385
"10Y US Bond",2010-10-08,2.395
"10Y US Bond",2010-10-09,2.395
"10Y US Bond",2010-10-10,2.395
"10Y US Bond",2010-10-11,2.389
"10Y US Bond",2010-10-12,2.433
"10Y US Bond",2010-10-13,2.422
"10Y US Bond",2010-10-14,2.506
"10Y US Bond",2010-10-15,2.567
"10Y US Bond",2010-10-16,2.567
"10Y US Bond",2010-10-17,2.567
"10Y US Bond",2010-10-18,2.515
"10Y US Bond",2010-10-19,2.481
"10Y US Bond",2010-10-20,2.484
"10Y US Bond",2010-10-21,2.542
"10Y US Bond",2010-10-22,2.561
"10Y US Bond",2010-10-23,2.561
"10Y US Bond",2010-10-24,2.561
"10Y US Bond",2010-10-25,2.567
"10Y US Bond",2010-10-26,2.645
"10Y US Bond",2010-10-27,2.729
"10Y US Bond",2010-10-28,2.667
"10Y US Bond",2010-10-29,2.603
"10Y US Bond",2010-10-30,2.603
"10Y US Bond",2010-10-31,2.603
"10Y US Bond",2010-11-01,2.628
"10Y US Bond",2010-11-02,2.592
"10Y US Bond",2010-11-03,2.579
"10Y US Bond",2010-11-04,2.491
"10Y US Bond",2010-11-05,2.539
"10Y US Bond",2010-11-06,2.539
"10Y US Bond",2010-11-07,2.539
"10Y US Bond",2010-11-08,2.557
"10Y US Bond",2010-11-09,2.663
"10Y US Bond",2010-11-10,2.648
"10Y US Bond",2010-11-11,2.656
"10Y US Bond",2010-11-12,2.785
"10Y US Bond",2010-11-13,2.785
"10Y US Bond",2010-11-14,2.785
"10Y US Bond",2010-11-15,2.961
"10Y US Bond",2010-11-16,2.842
"10Y US Bond",2010-11-17,2.882
"10Y US Bond",2010-11-18,2.901
"10Y US Bond",2010-11-19,2.877
"10Y US Bond",2010-11-20,2.877
"10Y US Bond",2010-11-21,2.877
"10Y US Bond",2010-11-22,2.806
"10Y US Bond",2010-11-23,2.782
"10Y US Bond",2010-11-24,2.912
"10Y US Bond",2010-11-25,2.911
"10Y US Bond",2010-11-26,2.870
"10Y US Bond",2010-11-27,2.870
"10Y US Bond",2010-11-28,2.870
"10Y US Bond",2010-11-29,2.826
"10Y US Bond",2010-11-30,2.797
"10Y US Bond",2010-12-01,2.966
"10Y US Bond",2010-12-02,2.998
"10Y US Bond",2010-12-03,3.007
"10Y US Bond",2010-12-04,3.007
"10Y US Bond",2010-12-05,3.007
"10Y US Bond",2010-12-06,2.929
"10Y US Bond",2010-12-07,3.141
"10Y US Bond",2010-12-08,3.272
"10Y US Bond",2010-12-09,3.213
"10Y US Bond",2010-12-10,3.323
"10Y US Bond",2010-12-11,3.323
"10Y US Bond",2010-12-12,3.323
"10Y US Bond",2010-12-13,3.279
"10Y US Bond",2010-12-14,3.473
"10Y US Bond",2010-12-15,3.538
"10Y US Bond",2010-12-16,3.434
"10Y US Bond",2010-12-17,3.338
"10Y US Bond",2010-12-18,3.338
"10Y US Bond",2010-12-19,3.338
"10Y US Bond",2010-12-20,3.340
"10Y US Bond",2010-12-21,3.303
"10Y US Bond",2010-12-22,3.348
"10Y US Bond",2010-12-23,3.397
"10Y US Bond",2010-12-24,3.414
"10Y US Bond",2010-12-25,3.414
"10Y US Bond",2010-12-26,3.414
"10Y US Bond",2010-12-27,3.327
"10Y US Bond",2010-12-28,3.491
"10Y US Bond",2010-12-29,3.357
"10Y US Bond",2010-12-30,3.367
"10Y US Bond",2010-12-31,3.288
"10Y US Bond",2011-01-01,3.288
"10Y US Bond",2011-01-02,3.288
"10Y US Bond",2011-01-03,3.336
"10Y US Bond",2011-01-04,3.338
"10Y US Bond",2011-01-05,3.463
"10Y US Bond",2011-01-06,3.403
"10Y US Bond",2011-01-07,3.326
"10Y US Bond",2011-01-08,3.326
"10Y US Bond",2011-01-09,3.326
"10Y US Bond",2011-01-10,3.287
"10Y US Bond",2011-01-11,3.340
"10Y US Bond",2011-01-12,3.381
"10Y US Bond",2011-01-13,3.303
"10Y US Bond",2011-01-14,3.331
"10Y US Bond",2011-01-15,3.331
"10Y US Bond",2011-01-16,3.331
"10Y US Bond",2011-01-17,3.315
"10Y US Bond",2011-01-18,3.370
"10Y US Bond",2011-01-19,3.337
"10Y US Bond",2011-01-20,3.455
"10Y US Bond",2011-01-21,3.408
"10Y US Bond",2011-01-22,3.408
"10Y US Bond",2011-01-23,3.408
"10Y US Bond",2011-01-24,3.404
"10Y US Bond",2011-01-25,3.330
"10Y US Bond",2011-01-26,3.421
"10Y US Bond",2011-01-27,3.389
"10Y US Bond",2011-01-28,3.329
"10Y US Bond",2011-01-29,3.329
"10Y US Bond",2011-01-30,3.329
"10Y US Bond",2011-01-31,3.374
"10Y US Bond",2011-02-01,3.435
"10Y US Bond",2011-02-02,3.479
"10Y US Bond",2011-02-03,3.547
"10Y US Bond",2011-02-04,3.638
"10Y US Bond",2011-02-05,3.638
"10Y US Bond",2011-02-06,3.638
"10Y US Bond",2011-02-07,3.640
"10Y US Bond",2011-02-08,3.737
"10Y US Bond",2011-02-09,3.652
"10Y US Bond",2011-02-10,3.702
"10Y US Bond",2011-02-11,3.638
"10Y US Bond",2011-02-12,3.638
"10Y US Bond",2011-02-13,3.638
"10Y US Bond",2011-02-14,3.625
"10Y US Bond",2011-02-15,3.604
"10Y US Bond",2011-02-16,3.623
"10Y US Bond",2011-02-17,3.576
"10Y US Bond",2011-02-18,3.582
"10Y US Bond",2011-02-19,3.582
"10Y US Bond",2011-02-20,3.582
"10Y US Bond",2011-02-21,3.576
"10Y US Bond",2011-02-22,3.459
"10Y US Bond",2011-02-23,3.483
"10Y US Bond",2011-02-24,3.450
"10Y US Bond",2011-02-25,3.416
"10Y US Bond",2011-02-26,3.416
"10Y US Bond",2011-02-27,3.416
"10Y US Bond",2011-02-28,3.422
"10Y US Bond",2011-03-01,3.403
"10Y US Bond",2011-03-02,3.471
"10Y US Bond",2011-03-03,3.559
"10Y US Bond",2011-03-04,3.492
"10Y US Bond",2011-03-05,3.492
"10Y US Bond",2011-03-06,3.492
"10Y US Bond",2011-03-07,3.516
"10Y US Bond",2011-03-08,3.551
"10Y US Bond",2011-03-09,3.469
"10Y US Bond",2011-03-10,3.362
"10Y US Bond",2011-03-11,3.402
"10Y US Bond",2011-03-12,3.402
"10Y US Bond",2011-03-13,3.402
"10Y US Bond",2011-03-14,3.365
"10Y US Bond",2011-03-15,3.307
"10Y US Bond",2011-03-16,3.192
"10Y US Bond",2011-03-17,3.257
"10Y US Bond",2011-03-18,3.268
"10Y US Bond",2011-03-19,3.268
"10Y US Bond",2011-03-20,3.268
"10Y US Bond",2011-03-21,3.332
"10Y US Bond",2011-03-22,3.328
"10Y US Bond",2011-03-23,3.354
"10Y US Bond",2011-03-24,3.407
"10Y US Bond",2011-03-25,3.442
"10Y US Bond",2011-03-26,3.442
"10Y US Bond",2011-03-27,3.442
"10Y US Bond",2011-03-28,3.441
"10Y US Bond",2011-03-29,3.491
"10Y US Bond",2011-03-30,3.444
"10Y US Bond",2011-03-31,3.470
"10Y US Bond",2011-04-01,3.450
"10Y US Bond",2011-04-02,3.450
"10Y US Bond",2011-04-03,3.450
"10Y US Bond",2011-04-04,3.425
"10Y US Bond",2011-04-05,3.487
"10Y US Bond",2011-04-06,3.549
"10Y US Bond",2011-04-07,3.549
"10Y US Bond",2011-04-08,3.583
"10Y US Bond",2011-04-09,3.583
"10Y US Bond",2011-04-10,3.583
"10Y US Bond",2011-04-11,3.587
"10Y US Bond",2011-04-12,3.492
"10Y US Bond",2011-04-13,3.458
"10Y US Bond",2011-04-14,3.496
"10Y US Bond",2011-04-15,3.413
"10Y US Bond",2011-04-16,3.413
"10Y US Bond",2011-04-17,3.413
"10Y US Bond",2011-04-18,3.380
"10Y US Bond",2011-04-19,3.365
"10Y US Bond",2011-04-20,3.408
"10Y US Bond",2011-04-21,3.394
"10Y US Bond",2011-04-22,3.394
"10Y US Bond",2011-04-23,3.394
"10Y US Bond",2011-04-24,3.394
"10Y US Bond",2011-04-25,3.366
"10Y US Bond",2011-04-26,3.309
"10Y US Bond",2011-04-27,3.357
"10Y US Bond",2011-04-28,3.316
"10Y US Bond",2011-04-29,3.290
"10Y US Bond",2011-04-30,3.290
"10Y US Bond",2011-05-01,3.290
"10Y US Bond",2011-05-02,3.281
"10Y US Bond",2011-05-03,3.251
"10Y US Bond",2011-05-04,3.221
"10Y US Bond",2011-05-05,3.152
"10Y US Bond",2011-05-06,3.150
"10Y US Bond",2011-05-07,3.150
"10Y US Bond",2011-05-08,3.150
"10Y US Bond",2011-05-09,3.157
"10Y US Bond",2011-05-10,3.213
"10Y US Bond",2011-05-11,3.156
"10Y US Bond",2011-05-12,3.226
"10Y US Bond",2011-05-13,3.169
"10Y US Bond",2011-05-14,3.169
"10Y US Bond",2011-05-15,3.169
"10Y US Bond",2011-05-16,3.147
"10Y US Bond",2011-05-17,3.114
"10Y US Bond",2011-05-18,3.184
"10Y US Bond",2011-05-19,3.173
"10Y US Bond",2011-05-20,3.147
"10Y US Bond",2011-05-21,3.147
"10Y US Bond",2011-05-22,3.147
"10Y US Bond",2011-05-23,3.129
"10Y US Bond",2011-05-24,3.116
"10Y US Bond",2011-05-25,3.132
"10Y US Bond",2011-05-26,3.059
"10Y US Bond",2011-05-27,3.072
"10Y US Bond",2011-05-28,3.072
"10Y US Bond",2011-05-29,3.072
"10Y US Bond",2011-05-30,3.062
"10Y US Bond",2011-05-31,3.059
"10Y US Bond",2011-06-01,2.944
"10Y US Bond",2011-06-02,3.031
"10Y US Bond",2011-06-03,2.991
"10Y US Bond",2011-06-04,2.991
"10Y US Bond",2011-06-05,2.991
"10Y US Bond",2011-06-06,2.997
"10Y US Bond",2011-06-07,3.000
"10Y US Bond",2011-06-08,2.946
"10Y US Bond",2011-06-09,2.997
"10Y US Bond",2011-06-10,2.973
"10Y US Bond",2011-06-11,2.973
"10Y US Bond",2011-06-12,2.973
"10Y US Bond",2011-06-13,2.984
"10Y US Bond",2011-06-14,3.099
"10Y US Bond",2011-06-15,2.967
"10Y US Bond",2011-06-16,2.926
"10Y US Bond",2011-06-17,2.944
"10Y US Bond",2011-06-18,2.944
"10Y US Bond",2011-06-19,2.944
"10Y US Bond",2011-06-20,2.956
"10Y US Bond",2011-06-21,2.980
"10Y US Bond",2011-06-22,2.980
"10Y US Bond",2011-06-23,2.914
"10Y US Bond",2011-06-24,2.871
"10Y US Bond",2011-06-25,2.871
"10Y US Bond",2011-06-26,2.871
"10Y US Bond",2011-06-27,2.932
"10Y US Bond",2011-06-28,3.034
"10Y US Bond",2011-06-29,3.121
"10Y US Bond",2011-06-30,3.160
"10Y US Bond",2011-07-01,3.182
"10Y US Bond",2011-07-02,3.182
"10Y US Bond",2011-07-03,3.182
"10Y US Bond",2011-07-04,3.200
"10Y US Bond",2011-07-05,3.119
"10Y US Bond",2011-07-06,3.110
"10Y US Bond",2011-07-07,3.138
"10Y US Bond",2011-07-08,3.030
"10Y US Bond",2011-07-09,3.030
"10Y US Bond",2011-07-10,3.030
"10Y US Bond",2011-07-11,2.924
"10Y US Bond",2011-07-12,2.877
"10Y US Bond",2011-07-13,2.884
"10Y US Bond",2011-07-14,2.953
"10Y US Bond",2011-07-15,2.908
"10Y US Bond",2011-07-16,2.908
"10Y US Bond",2011-07-17,2.908
"10Y US Bond",2011-07-18,2.920
"10Y US Bond",2011-07-19,2.878
"10Y US Bond",2011-07-20,2.931
"10Y US Bond",2011-07-21,3.014
"10Y US Bond",2011-07-22,2.964
"10Y US Bond",2011-07-23,2.964
"10Y US Bond",2011-07-24,2.964
"10Y US Bond",2011-07-25,3.004
"10Y US Bond",2011-07-26,2.955
"10Y US Bond",2011-07-27,2.982
"10Y US Bond",2011-07-28,2.955
"10Y US Bond",2011-07-29,2.792
"10Y US Bond",2011-07-30,2.792
"10Y US Bond",2011-07-31,2.792
"10Y US Bond",2011-08-01,2.753
"10Y US Bond",2011-08-02,2.613
"10Y US Bond",2011-08-03,2.615
"10Y US Bond",2011-08-04,2.407
"10Y US Bond",2011-08-05,2.563
"10Y US Bond",2011-08-06,2.563
"10Y US Bond",2011-08-07,2.563
"10Y US Bond",2011-08-08,2.316
"10Y US Bond",2011-08-09,2.275
"10Y US Bond",2011-08-10,2.095
"10Y US Bond",2011-08-11,2.333
"10Y US Bond",2011-08-12,2.260
"10Y US Bond",2011-08-13,2.260
"10Y US Bond",2011-08-14,2.260
"10Y US Bond",2011-08-15,2.308
"10Y US Bond",2011-08-16,2.225
"10Y US Bond",2011-08-17,2.167
"10Y US Bond",2011-08-18,2.068
"10Y US Bond",2011-08-19,2.067
"10Y US Bond",2011-08-20,2.067
"10Y US Bond",2011-08-21,2.067
"10Y US Bond",2011-08-22,2.109
"10Y US Bond",2011-08-23,2.158
"10Y US Bond",2011-08-24,2.294
"10Y US Bond",2011-08-25,2.234
"10Y US Bond",2011-08-26,2.190
"10Y US Bond",2011-08-27,2.190
"10Y US Bond",2011-08-28,2.190
"10Y US Bond",2011-08-29,2.264
"10Y US Bond",2011-08-30,2.176
"10Y US Bond",2011-08-31,2.234
"10Y US Bond",2011-09-01,2.132
"10Y US Bond",2011-09-02,1.994
"10Y US Bond",2011-09-03,1.994
"10Y US Bond",2011-09-04,1.994
"10Y US Bond",2011-09-05,1.988
"10Y US Bond",2011-09-06,1.982
"10Y US Bond",2011-09-07,2.041
"10Y US Bond",2011-09-08,1.977
"10Y US Bond",2011-09-09,1.915
"10Y US Bond",2011-09-10,1.915
"10Y US Bond",2011-09-11,1.915
"10Y US Bond",2011-09-12,1.948
"10Y US Bond",2011-09-13,1.992
"10Y US Bond",2011-09-14,1.992
"10Y US Bond",2011-09-15,2.083
"10Y US Bond",2011-09-16,2.057
"10Y US Bond",2011-09-17,2.057
"10Y US Bond",2011-09-18,2.057
"10Y US Bond",2011-09-19,1.956
"10Y US Bond",2011-09-20,1.937
"10Y US Bond",2011-09-21,1.856
"10Y US Bond",2011-09-22,1.720
"10Y US Bond",2011-09-23,1.830
"10Y US Bond",2011-09-24,1.830
"10Y US Bond",2011-09-25,1.830
"10Y US Bond",2011-09-26,1.904
"10Y US Bond",2011-09-27,1.980
"10Y US Bond",2011-09-28,1.987
"10Y US Bond",2011-09-29,2.002
"10Y US Bond",2011-09-30,1.917
"10Y US Bond",2011-10-01,1.917
"10Y US Bond",2011-10-02,1.917
"10Y US Bond",2011-10-03,1.749
"10Y US Bond",2011-10-04,1.817
"10Y US Bond",2011-10-05,1.891
"10Y US Bond",2011-10-06,1.992
"10Y US Bond",2011-10-07,2.075
"10Y US Bond",2011-10-08,2.075
"10Y US Bond",2011-10-09,2.075
"10Y US Bond",2011-10-10,2.070
"10Y US Bond",2011-10-11,2.159
"10Y US Bond",2011-10-12,2.212
"10Y US Bond",2011-10-13,2.182
"10Y US Bond",2011-10-14,2.251
"10Y US Bond",2011-10-15,2.251
"10Y US Bond",2011-10-16,2.251
"10Y US Bond",2011-10-17,2.155
"10Y US Bond",2011-10-18,2.175
"10Y US Bond",2011-10-19,2.157
"10Y US Bond",2011-10-20,2.187
"10Y US Bond",2011-10-21,2.216
"10Y US Bond",2011-10-22,2.216
"10Y US Bond",2011-10-23,2.216
"10Y US Bond",2011-10-24,2.234
"10Y US Bond",2011-10-25,2.114
"10Y US Bond",2011-10-26,2.207
"10Y US Bond",2011-10-27,2.385
"10Y US Bond",2011-10-28,2.324
"10Y US Bond",2011-10-29,2.324
"10Y US Bond",2011-10-30,2.324
"10Y US Bond",2011-10-31,2.116
"10Y US Bond",2011-11-01,1.991
"10Y US Bond",2011-11-02,1.989
"10Y US Bond",2011-11-03,2.073
"10Y US Bond",2011-11-04,2.038
"10Y US Bond",2011-11-05,2.038
"10Y US Bond",2011-11-06,2.038
"10Y US Bond",2011-11-07,2.020
"10Y US Bond",2011-11-08,2.079
"10Y US Bond",2011-11-09,1.966
"10Y US Bond",2011-11-10,2.057
"10Y US Bond",2011-11-11,2.057
"10Y US Bond",2011-11-12,2.057
"10Y US Bond",2011-11-13,2.057
"10Y US Bond",2011-11-14,2.045
"10Y US Bond",2011-11-15,2.049
"10Y US Bond",2011-11-16,2.000
"10Y US Bond",2011-11-17,1.965
"10Y US Bond",2011-11-18,2.005
"10Y US Bond",2011-11-19,2.005
"10Y US Bond",2011-11-20,2.005
"10Y US Bond",2011-11-21,1.965
"10Y US Bond",2011-11-22,1.922
"10Y US Bond",2011-11-23,1.888
"10Y US Bond",2011-11-24,1.894
"10Y US Bond",2011-11-25,1.965
"10Y US Bond",2011-11-26,1.965
"10Y US Bond",2011-11-27,1.965
"10Y US Bond",2011-11-28,1.970
"10Y US Bond",2011-11-29,1.988
"10Y US Bond",2011-11-30,2.071
